wavelength_um,emissivity_d0.5um,emissivity_d5um,emissivity_d20um,emissivity_d50um,emissivity_d100um,emissivity_d200um
0.360000,0.000002,0.000017,0.000073,0.000176,0.000329,0.000732
0.362000,0.000002,0.000016,0.000074,0.000185,0.000368,0.000728
0.364000,0.000002,0.000017,0.000072,0.000179,0.000340,0.000652
0.366000,0.000002,0.000018,0.000068,0.000168,0.000327,0.000691
0.368000,0.000002,0.000018,0.000065,0.000161,0.000360,0.000699
0.370000,0.000002,0.000016,0.000064,0.000161,0.000352,0.000664
0.372000,0.000002,0.000016,0.000067,0.000164,0.000325,0.000662
0.374000,0.000002,0.000017,0.000071,0.000168,0.000316,0.000715
0.376000,0.000002,0.000018,0.000071,0.000170,0.000318,0.000674
0.378000,0.000002,0.000017,0.000066,0.000171,0.000323,0.000640
0.380000,0.000002,0.000016,0.000062,0.000171,0.000323,0.000630
0.382000,0.000002,0.000016,0.000064,0.000170,0.000319,0.000635
0.384000,0.000002,0.000017,0.000068,0.000167,0.000311,0.000663
0.386000,0.000002,0.000017,0.000068,0.000162,0.000306,0.000693
0.388000,0.000002,0.000017,0.000063,0.000157,0.000312,0.000635
0.390000,0.000002,0.000015,0.000061,0.000153,0.000332,0.000625
0.392000,0.000002,0.000015,0.000066,0.000151,0.000339,0.000669
0.394000,0.000002,0.000016,0.000068,0.000154,0.000309,0.000616
0.396000,0.000001,0.000017,0.000062,0.000162,0.000304,0.000628
0.398000,0.000001,0.000017,0.000060,0.000168,0.000336,0.000670
0.400000,0.000001,0.000015,0.000066,0.000161,0.000302,0.000618
0.402000,0.000001,0.000015,0.000065,0.000149,0.000315,0.000589
0.404000,0.000001,0.000015,0.000059,0.000148,0.000313,0.000586
0.406000,0.000001,0.000016,0.000062,0.000161,0.000304,0.000585
0.408000,0.000001,0.000016,0.000065,0.000161,0.000309,0.000579
0.410000,0.000001,0.000016,0.000059,0.000146,0.000311,0.000581
0.412000,0.000001,0.000015,0.000059,0.000149,0.000291,0.000613
0.414000,0.000001,0.000014,0.000065,0.000161,0.000323,0.000646
0.416000,0.000001,0.000015,0.000059,0.000146,0.000292,0.000585
0.418000,0.000001,0.000015,0.000058,0.000146,0.000289,0.000591
0.420000,0.000001,0.000016,0.000064,0.000159,0.000316,0.000619
0.422000,0.000001,0.000015,0.000057,0.000141,0.000306,0.000575
0.424000,0.000001,0.000014,0.000059,0.000151,0.000282,0.000597
0.426000,0.000001,0.000014,0.000062,0.000149,0.000279,0.000612
0.428000,0.000001,0.000014,0.000055,0.000141,0.000290,0.000553
0.430000,0.000001,0.000015,0.000060,0.000154,0.000303,0.000573
0.432000,0.000001,0.000015,0.000059,0.000137,0.000308,0.000611
0.434000,0.000001,0.000015,0.000055,0.000154,0.000308,0.000615
0.436000,0.000001,0.000014,0.000061,0.000136,0.000305,0.000604
0.438000,0.000001,0.000014,0.000055,0.000152,0.000304,0.000598
0.440000,0.000001,0.000013,0.000058,0.000134,0.000303,0.000601
0.442000,0.000001,0.000014,0.000058,0.000151,0.000302,0.000605
0.444000,0.000001,0.000015,0.000054,0.000133,0.000299,0.000589
0.446000,0.000001,0.000015,0.000060,0.000149,0.000290,0.000546
0.448000,0.000001,0.000015,0.000053,0.000135,0.000276,0.000531
0.450000,0.000001,0.000014,0.000058,0.000141,0.000264,0.000584
0.452000,0.000001,0.000013,0.000054,0.000142,0.000265,0.000559
0.454000,0.000001,0.000013,0.000056,0.000131,0.000283,0.000530
0.456000,0.000001,0.000014,0.000056,0.000147,0.000293,0.000581
0.458000,0.000001,0.000014,0.000053,0.000132,0.000270,0.000520
0.460000,0.000001,0.000015,0.000057,0.000135,0.000258,0.000569
0.462000,0.000001,0.000014,0.000051,0.000144,0.000283,0.000538
0.464000,0.000001,0.000014,0.000058,0.000128,0.000277,0.000519
0.466000,0.000001,0.000013,0.000051,0.000134,0.000254,0.000571
0.468000,0.000001,0.000013,0.000057,0.000142,0.000282,0.000545
0.470000,0.000001,0.000013,0.000050,0.000128,0.000263,0.000506
0.472000,0.000001,0.000013,0.000056,0.000128,0.000261,0.000506
0.474000,0.000001,0.000014,0.000050,0.000140,0.000276,0.000526
0.476000,0.000001,0.000014,0.000056,0.000134,0.000250,0.000541
0.478000,0.000001,0.000014,0.000050,0.000124,0.000278,0.000547
0.480000,0.000001,0.000013,0.000055,0.000129,0.000247,0.000545
